Stock,52 Week High,Date of High,52 Week Low,Date of Low,Current Close,Difference (High - Close),Status
AXISBANK.NS,1339.65,2024-07-12,950.666,2023-10-25,1246.6,-93.05,Wait
LALPATHLAB.NS,3459.4,2024-08-30,1936.018,2024-03-19,3292.7,-166.7,Wait
JKLAKSHMI.NS,992.342,2024-02-09,635.758,2023-10-03,770.35,-221.992,Wait
HSCL.NS,688.7,2024-09-18,223.668,2023-10-26,648.5,-40.2,Wait
CHEMPLASTS.NS,633.9,2024-06-14,402.8,2024-06-10,513.75,-120.15,Wait
CHENNPETRO.NS,1217.521,2024-07-16,453.777,2023-10-06,934.7,-282.821,Wait
PAGEIND.NS,44100.0,2024-09-18,32722.095,2024-03-20,42120.5,-1979.5,Wait
GRSE.NS,2831.469,2024-07-05,641.47,2023-10-26,1681.0,-1150.469,Wait
GILLETTE.NS,9560.0,2024-09-19,5921.493,2023-12-21,8467.7,-1092.3,Wait
APARINDS.NS,10624.8,2024-09-16,4517.882,2023-10-26,9428.95,-1195.85,Wait
ITC.NS,528.5,2024-09-27,392.39,2024-03-12,522.25,-6.25,Wait
RRKABEL.NS,1898.665,2024-05-27,1303.37,2023-10-23,1719.45,-179.215,Wait
BLUESTARCO.NS,2199.55,2024-09-30,810.64,2023-10-31,2134.0,-65.55,Wait
LICHSGFIN.NS,815.845,2024-07-16,426.302,2023-10-26,661.4,-154.445,Wait
MAHABANK.NS,73.5,2024-06-03,37.799,2023-10-26,59.46,-14.04,Wait
LTIM.NS,6574.95,2024-09-19,4473.643,2024-06-04,6231.0,-343.95,Wait
SKFINDIA.NS,7201.841,2024-06-18,3943.375,2024-03-13,5426.95,-1774.891,Wait
GAEL.NS,210.067,2024-02-02,123.3,2024-09-23,126.12,-83.947,Wait
GSFC.NS,316.695,2024-01-23,163.335,2023-10-09,217.67,-99.025,Wait
BAJFINANCE.NS,8151.081,2023-10-06,6156.892,2024-03-06,7762.15,-388.931,Wait
JBMA.NS,2426.453,2024-02-19,1112.48,2023-10-26,1804.05,-622.403,Wait
VARROC.NS,716.9,2024-06-14,433.0,2024-03-14,570.9,-146.0,Wait
CENTRALBK.NS,76.9,2024-02-07,40.85,2023-10-26,58.82,-18.08,Wait
SBILIFE.NS,1936.0,2024-09-03,1262.083,2023-10-04,1879.1,-56.9,Wait
LICI.NS,1222.0,2024-08-01,591.84,2023-10-26,1009.5,-212.5,Wait
RBLBANK.NS,298.741,2024-01-11,203.11,2024-09-26,206.29,-92.451,Wait
MANAPPURAM.NS,229.329,2024-07-19,122.699,2023-10-26,201.39,-27.939,Wait
CAPLIPOINT.NS,2156.017,2024-09-05,950.926,2023-10-26,1906.05,-249.967,Wait
TATAMOTORS.NS,1179.0,2024-07-30,606.429,2023-10-04,982.35,-196.65,Wait
MAXHEALTH.NS,1118.0,2024-09-24,537.72,2023-10-26,971.0,-147.0,Wait
ALKEM.NS,6439.9,2024-09-13,3421.271,2023-10-05,6170.85,-269.05,Wait
DIXON.NS,14498.0,2024-09-24,5026.203,2023-10-09,13781.05,-716.95,Wait
CRISIL.NS,5220.836,2024-03-26,3627.582,2024-01-25,4625.35,-595.486,Wait
ERIS.NS,1522.05,2024-09-06,804.0,2023-10-26,1295.65,-226.4,Wait
VGUARD.NS,577.45,2024-08-14,280.158,2023-10-09,440.35,-137.1,Wait
MARICO.NS,713.5,2024-09-27,486.3,2024-03-19,697.9,-15.6,Wait
FINPIPE.NS,353.045,2024-06-07,184.31,2023-10-26,275.05,-77.995,Wait
AWL.NS,410.5,2023-12-06,285.8,2023-11-20,341.4,-69.1,Wait
BHARATFORG.NS,1797.478,2024-06-21,996.197,2023-10-30,1522.0,-275.478,Wait
ESCORTS.NS,4420.0,2024-09-27,2636.789,2024-02-09,4264.8,-155.2,Wait
BEML.NS,5466.408,2024-07-05,1894.502,2023-10-26,3671.6,-1794.808,Wait
MTARTECH.NS,2783.85,2023-10-23,1600.0,2024-06-04,1720.0,-1063.85,Wait
NUVOCO.NS,398.0,2023-12-27,291.3,2024-03-13,354.6,-43.4,Wait
SHREECEM.NS,30622.646,2024-02-01,23653.312,2024-06-04,26163.949,-4458.696,Wait
MFSL.NS,1212.85,2024-09-27,854.25,2024-01-31,1187.0,-25.85,Wait
AUROPHARMA.NS,1592.0,2024-09-13,830.965,2023-11-01,1503.4,-88.6,Wait
JSL.NS,845.696,2024-07-09,425.989,2023-11-01,786.5,-59.196,Wait
SUNDRMFAST.NS,1505.95,2024-07-18,999.539,2024-03-15,1388.0,-117.95,Wait
UJJIVANSFB.NS,60.917,2023-12-11,38.677,2024-06-04,40.15,-20.767,Wait
SCHNEIDER.NS,980.0,2024-07-03,300.0,2023-10-26,821.2,-158.8,Wait
MHRIL.NS,505.0,2024-06-21,347.75,2023-12-21,389.05,-115.95,Wait
INDUSTOWER.NS,460.35,2024-08-30,166.7,2023-10-27,387.5,-72.85,Wait
CARBORUNIV.NS,1838.475,2024-06-20,1024.11,2024-02-27,1502.6,-335.875,Wait
JSWSTEEL.NS,1024.15,2024-09-30,717.38,2023-11-01,1021.95,-2.2,Wait
JWL.NS,747.697,2024-07-05,266.431,2023-10-26,509.95,-237.747,Wait
CERA.NS,10789.95,2024-08-09,6547.943,2024-03-19,8090.0,-2699.95,Wait
NETWORK18.NS,135.7,2024-01-19,63.3,2023-10-03,80.68,-55.02,Wait
NYKAA.NS,229.8,2024-08-23,136.5,2023-10-25,196.88,-32.92,Wait
NESTLEIND.NS,2778.0,2024-09-27,2196.902,2023-10-03,2732.25,-45.75,Wait
METROBRAND.NS,1435.225,2023-11-30,988.299,2024-06-04,1264.0,-171.225,Wait
TATAELXSI.NS,9111.181,2023-12-18,6349.305,2024-06-04,7705.0,-1406.181,Wait
SUPREMEIND.NS,6436.89,2024-06-12,3588.117,2024-03-13,5216.9,-1219.99,Wait
VAIBHAVGBL.NS,535.394,2024-01-30,260.079,2024-06-04,303.3,-232.094,Wait
GRAPHITE.NS,695.332,2024-04-25,425.59,2023-10-26,585.05,-110.282,Wait
HONAUT.NS,59881.864,2024-06-26,34912.321,2023-12-21,48560.898,-11320.966,Wait
TRIVENI.NS,518.0,2024-09-16,266.792,2024-06-04,466.9,-51.1,Wait
AIAENG.NS,4932.717,2024-08-12,3328.422,2023-10-25,4319.05,-613.668,Wait
SIGNATURE.NS,1647.0,2024-09-26,454.1,2023-10-04,1592.45,-54.55,Wait
BANDHANBNK.NS,261.097,2024-01-04,167.862,2024-06-04,200.95,-60.147,Wait
TRENT.NS,7939.9,2024-09-26,1943.666,2023-10-26,7761.05,-178.85,Wait
PATANJALI.NS,1992.2,2024-09-03,1169.95,2024-06-04,1682.85,-309.35,Wait
HINDUNILVR.NS,3035.0,2024-09-23,2151.093,2024-04-16,2986.5,-48.5,Wait
LXCHEM.NS,325.5,2024-09-11,219.494,2024-06-04,283.2,-42.3,Wait
FACT.NS,1185.82,2024-06-21,505.497,2023-10-09,944.4,-241.42,Wait
RHIM.NS,820.589,2023-12-26,502.163,2024-03-13,608.7,-211.889,Wait
SAMMAANCAP.NS,865.593,2023-12-29,129.985,2024-06-04,163.31,-702.283,Wait
JINDALSTEL.NS,1094.709,2024-06-21,580.385,2023-11-01,1032.5,-62.209,Wait
VTL.NS,587.15,2024-07-30,335.727,2023-10-26,470.75,-116.4,Wait
ASHOKLEY.NS,264.65,2024-08-27,153.131,2024-03-14,237.05,-27.6,Wait
MOTILALOFS.NS,1288.132,2023-12-20,304.053,2024-01-02,748.55,-539.582,Wait
ATGL.NS,1259.067,2023-12-08,521.862,2023-10-26,782.95,-476.117,Wait
DEEPAKFERT.NS,1119.9,2024-09-04,446.431,2024-03-13,1069.75,-50.15,Wait
BIOCON.NS,395.8,2024-09-17,217.199,2023-10-31,362.85,-32.95,Wait
RBA.NS,133.7,2024-01-16,91.5,2024-06-04,111.47,-22.23,Wait
SUZLON.NS,86.04,2024-09-12,25.75,2023-10-03,79.96,-6.08,Wait
IEX.NS,244.4,2024-09-24,119.349,2023-10-26,204.07,-40.33,Wait
ELECON.NS,716.75,2024-07-19,355.641,2023-10-26,692.25,-24.5,Wait
TATACOMM.NS,2168.0,2024-09-27,1529.501,2023-10-26,2106.4,-61.6,Wait
DALBHARAT.NS,2424.266,2023-12-14,1647.029,2024-06-04,1910.3,-513.966,Wait
CREDITACC.NS,1781.871,2023-12-14,1153.0,2024-08-16,1201.0,-580.871,Wait
UTIAMC.NS,1341.0,2024-09-18,724.947,2023-10-26,1251.25,-89.75,Wait
GLAXO.NS,3088.0,2024-08-21,1367.966,2023-11-02,2732.2,-355.8,Wait
KPITTECH.NS,1923.506,2024-07-12,1086.926,2023-10-26,1636.0,-287.506,Wait
JUBLPHARMA.NS,1247.15,2024-09-16,316.91,2023-10-26,1158.35,-88.8,Wait
INDIGOPNTS.NS,1584.301,2024-07-11,1247.089,2024-03-28,1471.15,-113.151,Wait
360ONE.NS,1211.945,2024-08-01,477.172,2023-10-05,1059.45,-152.495,Wait
TVSSCS.NS,231.15,2023-10-12,145.0,2024-03-13,198.24,-32.91,Wait
BIRLACORPN.NS,1790.291,2024-02-27,1130.456,2023-10-26,1243.65,-546.641,Wait
CLEAN.NS,1686.652,2024-08-01,1240.537,2024-06-04,1543.5,-143.152,Wait
RAINBOW.NS,1644.682,2024-05-06,990.35,2023-11-07,1402.8,-241.882,Wait
IOB.NS,83.75,2024-02-08,36.65,2023-10-26,57.79,-25.96,Wait
KSB.NS,1060.0,2024-07-15,556.852,2023-10-26,884.85,-175.15,Wait
TATACONSUM.NS,1260.311,2024-03-11,849.146,2023-10-04,1212.9,-47.411,Wait
GPIL.NS,1222.367,2024-07-16,572.109,2023-10-26,1078.0,-144.367,Wait
ULTRACEMCO.NS,12138.0,2024-09-27,7997.622,2023-10-04,11863.4,-274.6,Wait
MAHSEAMLES.NS,1078.446,2024-01-30,559.622,2024-08-09,635.35,-443.096,Wait
AUBANK.NS,812.116,2024-01-09,552.826,2024-03-20,732.35,-79.766,Wait
PNCINFRA.NS,574.007,2024-05-27,309.672,2023-11-09,434.2,-139.807,Wait
ICICIGI.NS,2301.9,2024-09-23,1276.583,2023-10-04,2206.7,-95.2,Wait
DLF.NS,962.102,2024-04-01,510.582,2023-10-26,910.9,-51.202,Wait
INDIACEM.NS,385.0,2024-07-29,172.55,2024-06-04,361.0,-24.0,Wait
SHYAMMETL.NS,956.9,2024-09-24,418.746,2023-10-25,910.0,-46.9,Wait
ZEEL.NS,299.7,2023-12-12,125.5,2024-06-04,134.31,-165.39,Wait
CUB.NS,175.743,2024-08-01,123.394,2023-10-04,164.0,-11.743,Wait
BORORENEW.NS,669.35,2024-02-01,391.05,2023-10-26,490.3,-179.05,Wait
ZENSARTECH.NS,832.064,2024-07-15,450.662,2023-10-26,676.05,-156.014,Wait
JKPAPER.NS,632.263,2024-07-02,315.859,2024-03-27,447.6,-184.663,Wait
NIACL.NS,322.171,2024-02-09,129.087,2023-10-26,230.8,-91.371,Wait
FDC.NS,658.85,2024-09-12,343.3,2023-10-25,540.9,-117.95,Wait
AMBER.NS,5361.15,2024-09-24,2721.05,2023-10-23,4701.55,-659.6,Wait
ISEC.NS,922.45,2024-09-19,582.995,2023-10-04,870.85,-51.6,Wait
PRSMJOHNSN.NS,246.0,2024-09-11,120.0,2023-10-25,202.58,-43.42,Wait
TV18BRDCST.NS,68.7,2024-01-19,38.65,2024-06-05,44.51,-24.19,Wait
SAFARI.NS,2613.75,2024-09-16,1647.452,2024-03-18,2319.95,-293.8,Wait
ADANIPORTS.NS,1614.473,2024-06-03,751.277,2023-10-26,1448.05,-166.423,Wait
KALYANKJIL.NS,786.25,2024-09-23,221.154,2023-10-03,714.65,-71.6,Wait
POONAWALLA.NS,517.507,2024-01-19,334.881,2023-11-03,394.5,-123.007,Wait
MAZDOCK.NS,5843.015,2024-07-05,1723.418,2023-10-26,4131.7,-1711.314,Wait
BLUEDART.NS,9488.7,2024-09-17,5470.672,2024-03-19,8135.4,-1353.3,Wait
PPLPHARMA.NS,243.99,2024-09-11,87.437,2023-10-26,220.98,-23.01,Wait
FINCABLES.NS,1690.33,2024-06-25,826.522,2024-03-14,1430.4,-259.93,Wait
GMDCLTD.NS,492.956,2024-02-05,299.183,2023-11-07,362.3,-130.656,Wait
TATAINVEST.NS,9716.263,2024-03-07,2872.999,2023-10-26,6835.0,-2881.263,Wait
SWANENERGY.NS,782.117,2024-02-27,282.202,2023-10-04,575.15,-206.967,Wait
MGL.NS,1988.0,2024-09-25,961.039,2023-10-26,1934.5,-53.5,Wait
TRITURBINE.NS,842.501,2024-08-14,310.582,2023-10-26,690.0,-152.501,Wait
CGCL.NS,820.273,2023-12-04,191.065,2024-01-01,203.52,-616.753,Wait
KOTAKBANK.NS,1942.0,2024-09-23,1542.16,2024-05-03,1862.15,-79.85,Wait
ENDURANCE.NS,3051.242,2024-06-14,1534.99,2023-10-09,2420.75,-630.492,Wait
DCMSHRIRAM.NS,1210.0,2024-09-02,830.213,2024-03-28,1034.7,-175.3,Wait
SOBHA.NS,2157.323,2024-06-13,641.066,2023-10-04,1937.3,-220.023,Wait
NCC.NS,361.993,2024-07-31,135.611,2023-10-26,297.0,-64.993,Wait
AEGISLOG.NS,,,,,,,
PRINCEPIPE.NS,774.672,2024-01-05,520.458,2024-03-14,564.15,-210.522,Wait
LT.NS,3889.326,2024-06-03,2833.873,2023-10-30,3685.1,-204.226,Wait
CIEINDIA.NS,622.4,2024-07-09,403.299,2024-03-14,542.5,-79.9,Wait
DELHIVERY.NS,488.0,2024-02-05,354.2,2023-12-15,422.45,-65.55,Wait
OLECTRA.NS,2221.424,2024-02-22,1017.759,2023-10-26,1624.05,-597.374,Wait
RAYMOND.NS,3496.0,2024-07-08,1481.76,2023-12-01,1755.75,-1740.25,Wait
HEROMOTOCO.NS,6246.25,2024-09-24,2887.079,2023-10-09,5793.0,-453.25,Wait
TANLA.NS,1233.148,2024-01-12,777.372,2024-03-13,896.0,-337.148,Wait
M&MFIN.NS,343.0,2024-09-27,232.416,2023-10-30,332.9,-10.1,Wait
CGPOWER.NS,814.4,2024-09-25,358.158,2023-10-26,759.75,-54.65,Wait
SONACOMS.NS,768.65,2024-09-23,485.772,2023-10-25,730.2,-38.45,Wait
DMART.NS,5484.85,2024-09-24,3616.0,2023-10-03,5126.8,-358.05,Wait
LINDEINDIA.NS,9925.196,2024-05-22,5319.719,2024-01-18,8449.7,-1475.495,Wait
ICICIBANK.NS,1362.35,2024-09-20,891.327,2023-10-26,1283.5,-78.85,Wait
HDFCBANK.NS,1794.0,2024-07-03,1345.181,2024-02-14,1735.9,-58.1,Wait
CHOLAFIN.NS,1652.0,2024-09-24,1010.712,2024-03-06,1611.05,-40.95,Wait
SANOFI.NS,10524.95,2024-06-10,5892.8,2024-06-13,6851.95,-3673.0,Wait
KRBL.NS,404.641,2023-10-03,254.776,2024-06-04,304.5,-100.141,Wait
ANURAS.NS,1105.215,2024-01-04,719.693,2024-06-05,726.2,-379.015,Wait
KAJARIACER.NS,1578.7,2024-09-24,1105.433,2024-03-27,1462.45,-116.25,Wait
ANANDRATHI.NS,4299.95,2024-06-03,1644.1,2023-10-03,3930.5,-369.45,Wait
SUVENPHAR.NS,1287.9,2024-09-23,541.0,2023-10-26,1180.0,-107.9,Wait
ADANIPOWER.NS,895.85,2024-06-03,289.35,2023-10-26,652.4,-243.45,Wait
LTTS.NS,6000.0,2024-08-29,4066.572,2023-10-26,5360.0,-640.0,Wait
BSOFT.NS,856.897,2024-02-06,473.972,2023-10-03,604.0,-252.897,Wait
KNRCON.NS,415.099,2024-07-31,236.579,2024-03-15,338.3,-76.799,Wait
TITAGARH.NS,1895.921,2024-06-27,701.919,2023-10-26,1214.7,-681.221,Wait
CSBBANK.NS,422.25,2023-12-29,305.75,2024-09-30,306.0,-116.25,Wait
QUESS.NS,875.0,2024-09-23,394.208,2023-10-26,789.15,-85.85,Wait
CESC.NS,212.49,2024-09-26,79.712,2023-10-26,197.17,-15.32,Wait
BHARTIARTL.NS,1779.0,2024-09-26,890.488,2023-11-01,1716.25,-62.75,Wait
JBCHEPHARM.NS,2030.0,2024-08-16,1236.034,2023-10-26,1875.5,-154.5,Wait
ALLCARGO.NS,96.567,2024-01-02,57.773,2024-08-14,64.6,-31.967,Wait
GODFRYPHLP.NS,8480.0,2024-09-16,1972.287,2023-10-26,6880.9,-1599.1,Wait
SAPPHIRE.NS,401.0,2024-09-24,242.6,2023-11-02,362.9,-38.1,Wait
RITES.NS,405.473,2024-02-27,208.854,2023-10-26,344.65,-60.823,Wait
ZOMATO.NS,298.25,2024-09-23,100.0,2023-10-03,275.3,-22.95,Wait
J&KBANK.NS,149.636,2024-02-09,92.823,2023-10-26,105.62,-44.016,Wait
SUNTECK.NS,697.208,2024-07-16,379.076,2024-03-20,579.9,-117.308,Wait
GMMPFAUDLR.NS,1887.923,2023-10-03,1142.313,2024-06-05,1422.35,-465.573,Wait
BIKAJI.NS,1007.95,2024-09-27,449.57,2023-10-26,961.95,-46.0,Wait
SYRMA.NS,702.7,2023-12-19,384.731,2024-05-14,432.8,-269.9,Wait
IIFL.NS,698.938,2023-10-16,313.25,2024-03-27,465.9,-233.038,Wait
NAM-INDIA.NS,739.45,2024-08-22,308.472,2023-10-03,652.3,-87.15,Wait
FORTIS.NS,622.85,2024-09-20,313.156,2023-10-26,595.9,-26.95,Wait
ALKYLAMINE.NS,2722.022,2024-01-02,1799.421,2024-03-28,2296.0,-426.022,Wait
HDFCAMC.NS,4546.2,2024-09-05,2572.349,2023-10-04,4339.2,-207.0,Wait
CAMPUS.NS,371.9,2024-09-25,213.0,2024-03-28,342.5,-29.4,Wait
ADANIENSOL.NS,1348.0,2024-08-01,686.0,2023-10-26,1005.1,-342.9,Wait
PNBHOUSING.NS,1202.2,2024-09-13,604.0,2024-03-13,973.1,-229.1,Wait
NH.NS,1440.286,2024-02-14,976.821,2023-10-26,1225.0,-215.286,Wait
OBEROIRLTY.NS,1970.0,2024-09-26,1044.311,2023-10-26,1917.0,-53.0,Wait
MINDACORP.NS,652.0,2024-08-26,312.065,2023-10-26,596.0,-56.0,Wait
THERMAX.NS,5839.95,2024-07-08,2494.577,2023-11-30,5117.85,-722.1,Wait
ASTRAZEN.NS,8040.0,2024-09-24,4436.015,2023-10-03,7572.0,-468.0,Wait
HFCL.NS,171.0,2024-09-23,61.424,2023-10-26,148.2,-22.8,Wait
RTNINDIA.NS,94.85,2024-02-08,48.3,2023-10-26,76.35,-18.5,Wait
CCL.NS,852.685,2024-09-04,550.106,2024-05-22,699.55,-153.135,Wait
CRAFTSMAN.NS,7121.25,2024-09-25,3772.39,2024-03-20,6464.55,-656.7,Wait
INOXWIND.NS,261.9,2024-09-23,47.25,2023-10-04,239.05,-22.85,Wait
ELGIEQUIP.NS,796.564,2024-06-24,465.406,2023-10-26,675.75,-120.814,Wait
VBL.NS,680.548,2024-07-29,330.702,2023-10-26,605.05,-75.498,Wait
DATAPATTNS.NS,3647.559,2024-07-05,1731.468,2023-10-26,2326.0,-1321.559,Wait
GODREJCP.NS,1541.85,2024-09-11,944.481,2023-10-26,1392.5,-149.35,Wait
EQUITASBNK.NS,115.024,2024-01-12,74.6,2024-08-14,77.7,-37.324,Wait
ASAHIINDIA.NS,833.95,2024-09-23,500.018,2024-03-19,761.15,-72.8,Wait
AAVAS.NS,1978.95,2024-06-19,1307.0,2024-03-28,1816.9,-162.05,Wait
POLYMED.NS,2683.38,2024-09-03,1248.602,2023-10-25,2308.85,-374.53,Wait
UNOMINDA.NS,1255.0,2024-09-02,547.268,2023-10-26,1126.2,-128.8,Wait
VIJAYA.NS,973.0,2024-09-12,487.303,2023-10-09,884.9,-88.1,Wait
RADICO.NS,2332.7,2024-09-19,1139.259,2023-10-26,2076.25,-256.45,Wait
MEDPLUS.NS,849.0,2023-11-21,598.6,2024-02-14,665.85,-183.15,Wait
POWERGRID.NS,366.25,2024-09-25,185.395,2023-10-09,350.2,-16.05,Wait
APOLLOTYRE.NS,584.9,2024-09-26,361.845,2023-10-04,541.35,-43.55,Wait
CHOLAHLDNG.NS,2122.8,2024-09-26,960.758,2023-12-01,1998.05,-124.75,Wait
3MINDIA.NS,40642.949,2024-07-30,28120.408,2024-05-15,34032.0,-6610.949,Wait
FSL.NS,345.0,2024-09-25,145.713,2023-10-26,311.35,-33.65,Wait
ROUTE.NS,1942.45,2024-07-15,1384.486,2024-06-04,1538.9,-403.55,Wait
MEDANTA.NS,1513.9,2024-02-16,708.0,2023-10-26,1031.2,-482.7,Wait
AVANTIFEED.NS,793.0,2024-08-09,382.198,2023-10-26,618.5,-174.5,Wait
HAPPYFORGE.NS,1295.634,2024-07-04,810.5,2024-03-18,1163.85,-131.784,Wait
POLICYBZR.NS,1966.5,2024-09-20,661.3,2023-10-26,1681.6,-284.9,Wait
BAJAJHLDNG.NS,11281.955,2024-09-20,6571.791,2023-10-30,10494.15,-787.804,Wait
JUBLINGREA.NS,799.9,2024-09-26,402.176,2023-11-01,730.35,-69.55,Wait
DEVYANI.NS,223.0,2023-10-03,142.25,2024-03-13,195.4,-27.6,Wait
BLS.NS,474.4,2024-09-13,229.236,2023-10-03,367.3,-107.1,Wait
CYIENT.NS,2435.287,2023-12-22,1515.722,2023-10-26,1871.3,-563.987,Wait
GODREJPROP.NS,3402.7,2024-07-16,1532.85,2023-10-04,3143.35,-259.35,Wait
INTELLECT.NS,1195.015,2024-03-15,622.923,2023-10-26,982.0,-213.015,Wait
MANKIND.NS,2780.0,2024-09-24,1683.05,2023-11-01,2544.6,-235.4,Wait
BSE.NS,4200.0,2024-09-23,1245.783,2023-10-04,3662.05,-537.95,Wait
UNITDSPR.NS,,,,,,,
PVRINOX.NS,1830.4,2023-12-18,1204.2,2024-06-04,1688.0,-142.4,Wait
MAHLIFE.NS,675.819,2024-04-25,472.914,2023-11-01,544.45,-131.369,Wait
UNIONBANK.NS,168.058,2024-06-03,88.9,2023-10-26,122.66,-45.398,Wait
CONCORDBIO.NS,2664.0,2024-09-20,1045.149,2023-10-04,1952.0,-712.0,Wait
ITI.NS,384.3,2024-01-17,184.2,2023-10-09,257.35,-126.95,Wait
ADANIGREEN.NS,2174.1,2024-06-03,815.55,2023-10-26,1956.15,-217.95,Wait
GLAND.NS,2198.267,2024-08-06,1459.985,2023-10-26,1778.95,-419.317,Wait
TMB.NS,587.726,2023-10-18,429.089,2024-08-05,453.75,-133.976,Wait
SAREGAMA.NS,632.0,2024-09-25,306.558,2023-11-01,564.7,-67.3,Wait
EASEMYTRIP.NS,54.0,2024-02-09,32.78,2024-09-25,34.43,-19.57,Wait
HONASA.NS,547.0,2024-09-10,256.3,2023-11-10,450.45,-96.55,Wait
PAYTM.NS,998.3,2023-10-20,310.0,2024-05-09,663.3,-335.0,Wait
JAIBALAJI.NS,1314.0,2024-03-01,432.5,2023-10-03,1055.2,-258.8,Wait
JSWENERGY.NS,804.9,2024-09-24,346.359,2023-10-25,727.85,-77.05,Wait
HOMEFIRST.NS,1369.6,2024-09-24,773.604,2024-06-04,1181.0,-188.6,Wait
LODHA.NS,1647.059,2024-06-18,700.47,2023-10-26,1276.75,-370.309,Wait
